ID,Item_type,Study_Title,Document_Reference,Author_1st,Author_2nd,Author_3rd,Author_4th,Author_5th,Author_6th,Publication_year,Country_application,Specific_Location_1,Specific_Location_2,MAR_Type_1,MAR_Type_2,MAR_Type_3,MAR_Type_4,Criteria_Group_1,Criteria_Group_2,Criteria_Group_3,Criteria_used_Original,Criteria_used_Modified,Criteria_weight,Subcriteria_Min_weight,Subcriteria_Max_weight,Standardized_criteria_weight(%),Criteria_importance_rank,Criteria_weights_assigment,Combination_rules,Constraint_mapping,Constraint_mapping_what,Sensitivity_Analysis,Water_Sorce,Main_objective,Groundwater_potential_zones
001,Journal Article,"Delineation of groundwater recharge zones and identification of artificial recharge sites in West Medinipur district, West Bengal, using RS, GIS and MSDM techniques","Chowdhury, 2009",Alivia Chowdhury,Madan K. Jha,V. M. Chowdary,,,,2009,India,Subarnarekha River,Kasai River,In-channel modifications,Spreading methods,"Well, shaft, borehole recharge",,Technical criteria,Aquifer characteristics,Storage/water flow capacity,Geology,Geology / Lithology,0.21,1,6.5,22.9991575400168,2,Pairwise comparison method,AHP,Yes,out of the (100-m) buffer from 2nd and 3rd stream order; out of the (100-m) buffer from lineaments,No,Stormwater/surface runoff,Agriculture; Domestic,No
001,Journal Article,"Delineation of groundwater recharge zones and identification of artificial recharge sites in West Medinipur district, West Bengal, using RS, GIS and MSDM techniques","Chowdhury, 2009",Alivia Chowdhury,Madan K. Jha,V. M. Chowdary,,,,2009,India,Subarnarekha River,Kasai River,In-channel modifications,Spreading methods,"Well, shaft, borehole recharge",,Technical criteria,Surface characteristics,Surface characteristics,Drainage density,Drainage density/Drainage intensity,0.21,1.5,5,17.6916596461668,3,Pairwise comparison method,AHP,Yes,out of the (100-m) buffer from 2nd and 3rd stream order; out of the (100-m) buffer from lineaments,No,Stormwater/surface runoff,Agriculture; Domestic,No
001,Journal Article,"Delineation of groundwater recharge zones and identification of artificial recharge sites in West Medinipur district, West Bengal, using RS, GIS and MSDM techniques","Chowdhury, 2009",Alivia Chowdhury,Madan K. Jha,V. M. Chowdary,,,,2009,India,Subarnarekha River,Kasai River,In-channel modifications,Spreading methods,"Well, shaft, borehole recharge",,Technical criteria,Surface characteristics,Surface characteristics,Slope,Slope,0.18,1.2,6,18.1971356360573,3,Pairwise comparison method,AHP,Yes,out of the (100-m) buffer from 2nd and 3rd stream order; out of the (100-m) buffer from lineaments,No,Stormwater/surface runoff,Agriculture; Domestic,No
001,Journal Article,"Delineation of groundwater recharge zones and identification of artificial recharge sites in West Medinipur district, West Bengal, using RS, GIS and MSDM techniques","Chowdhury, 2009",Alivia Chowdhury,Madan K. Jha,V. M. Chowdary,,,,2009,India,Subarnarekha River,Kasai River,In-channel modifications,Spreading methods,"Well, shaft, borehole recharge",,Technical criteria,Aquifer characteristics,Water flow capacity,Aquifer transmissivity,Aquifer transmissivity,0.15,1.5,5,12.636899747262,4,Pairwise comparison method,AHP,Yes,out of the (100-m) buffer from 2nd and 3rd stream order; out of the (100-m) buffer from lineaments,No,Stormwater/surface runoff,Agriculture; Domestic,No
001,Journal Article,"Delineation of groundwater recharge zones and identification of artificial recharge sites in West Medinipur district, West Bengal, using RS, GIS and MSDM techniques","Chowdhury, 2009",Alivia Chowdhury,Madan K. Jha,V. M. Chowdary,,,,2009,India,Subarnarekha River,Kasai River,In-channel modifications,Spreading methods,"Well, shaft, borehole recharge",,Technical criteria,Surface characteristics,Surface characteristics,Geomorphology,Geomorphology,0.26,1,6.5,28.475147430497,1,Pairwise comparison method,AHP,Yes,out of the (100-m) buffer from 2nd and 3rd stream order; out of the (100-m) buffer from lineaments,No,Stormwater/surface runoff,Agriculture; Domestic,No
001,Journal Article,"Delineation of groundwater recharge zones and identification of artificial recharge sites in West Medinipur district, West Bengal, using RS, GIS and MSDM techniques","Chowdhury, 2009",Alivia Chowdhury,Madan K. Jha,V. M. Chowdary,,,,2009,India,Subarnarekha River,Kasai River,In-channel modifications,Spreading methods,"Well, shaft, borehole recharge",,Technical criteria,Surface characteristics,Surface characteristics,100-m buffer from 2nd and 3rd drainage,100-m buffer from 2nd and 3rd drainage,NA,NA,NA,NA,NA,Pairwise comparison method,AHP,Yes,out of the (100-m) buffer from 2nd and 3rd stream order; out of the (100-m) buffer from lineaments,No,Stormwater/surface runoff,Agriculture; Domestic,No
001,Journal Article,"Delineation of groundwater recharge zones and identification of artificial recharge sites in West Medinipur district, West Bengal, using RS, GIS and MSDM techniques","Chowdhury, 2009",Alivia Chowdhury,Madan K. Jha,V. M. Chowdary,,,,2009,India,Subarnarekha River,Kasai River,In-channel modifications,Spreading methods,"Well, shaft, borehole recharge",,Technical criteria,Surface characteristics,Surface characteristics,100-m buffer from lineaments,Distance to Lineaments / Faults,NA,NA,NA,NA,NA,Pairwise comparison method,AHP,Yes,out of the (100-m) buffer from 2nd and 3rd stream order; out of the (100-m) buffer from lineaments,No,Stormwater/surface runoff,Agriculture; Domestic,No
002,Journal Article,A GIS based hydrogeomorphic approach for identification of site-specific artificial-recharge techniques in the Deccan Volcanic Province,"Shankar, 2005",M. N. Ravi Shankar,G. Mohan,,,,,2005,India,Bhatsa River,Kalu River,Spreading methods,In-channel modifications,"Well, shaft, borehole recharge",,Technical criteria,Surface characteristics,Surface characteristics,Lineament density,Lineament density,NA,NA,NA,NA,NA,Boolean logic,Boolean logic,Yes,"Water table fluctuation (> 4 m); Lineament density (< 1.5 Km/km2); Depth to bedrock (< 8m); soil cover (< 0.75 m); drainage density (< 2 km/km2); land forms (other than plains); land use/land cover (other than barren land, cultivated land); slope (> 5 degrees)",Yes,Stormwater/surface runoff,Nonspecific,No
002,Journal Article,A GIS based hydrogeomorphic approach for identification of site-specific artificial-recharge techniques in the Deccan Volcanic Province,"Shankar, 2005",M. N. Ravi Shankar,G. Mohan,,,,,2005,India,Bhatsa River,Kalu River,Spreading methods,In-channel modifications,"Well, shaft, borehole recharge",,Technical criteria,Aquifer characteristics,Storage capacity,Depth to bedrock,Depth to bedrock,NA,NA,NA,NA,NA,Boolean logic,Boolean logic,Yes,"Water table fluctuation (> 4 m); Lineament density (< 1.5 Km/km2); Depth to bedrock (< 8m); soil cover (< 0.75 m); drainage density (< 2 km/km2); land forms (other than plains); land use/land cover (other than barren land, cultivated land); slope (> 5 degrees)",Yes,Stormwater/surface runoff,Nonspecific,No
002,Journal Article,A GIS based hydrogeomorphic approach for identification of site-specific artificial-recharge techniques in the Deccan Volcanic Province,"Shankar, 2005",M. N. Ravi Shankar,G. Mohan,,,,,2005,India,Bhatsa River,Kalu River,Spreading methods,In-channel modifications,"Well, shaft, borehole recharge",,Technical criteria,Surface characteristics,Surface characteristics,Soil cover (depth),Soil depth,NA,NA,NA,NA,NA,Boolean logic,Boolean logic,Yes,"Water table fluctuation (> 4 m); Lineament density (< 1.5 Km/km2); Depth to bedrock (< 8m); soil cover (< 0.75 m); drainage density (< 2 km/km2); land forms (other than plains); land use/land cover (other than barren land, cultivated land); slope (> 5 degrees)",Yes,Stormwater/surface runoff,Nonspecific,No
