ID,Study_Title,Document_Reference,Publication_year,Country_application,Spreading methods,Induced bank filtration,In-channel modifications,"Well, shaft, borehole recharge",Rainwater-runoff harvesting,Unspecified MAR type,Criteria_Group_1,Criteria_Group_2,Criteria_used_Original,Criteria_used_Modified,Criteria_weight,Criteria_importance_rank,Criteria_weights_assigment,Combination_rules,Constraint_mapping,Constraint_mapping_what,Sensitivity_Analysis,Water_Sorce
1,"Delineation of groundwater recharge zones and identification of artificial recharge sites in West Medinipur district, West Bengal, using RS, GIS and MSDM techniques","Chowdhury, 2009",2009,India,Yes,No,Yes,Yes,No,No,Technical criteria,Aquifer characteristics,Geology,Geology / Lithology,0.21,2,Pairwise comparison method,AHP,Yes,out of the (100-m) buffer from 2nd and 3rd stream order; out of the (100-m) buffer from lineaments,No,Stormwater/surface runoff
1,"Delineation of groundwater recharge zones and identification of artificial recharge sites in West Medinipur district, West Bengal, using RS, GIS and MSDM techniques","Chowdhury, 2009",2009,India,Yes,No,Yes,Yes,No,No,Technical criteria,Surface characteristics,Drainage density,Drainage density/Drainage intensity,0.21,3,Pairwise comparison method,AHP,Yes,out of the (100-m) buffer from 2nd and 3rd stream order; out of the (100-m) buffer from lineaments,No,Stormwater/surface runoff
1,"Delineation of groundwater recharge zones and identification of artificial recharge sites in West Medinipur district, West Bengal, using RS, GIS and MSDM techniques","Chowdhury, 2009",2009,India,Yes,No,Yes,Yes,No,No,Technical criteria,Surface characteristics,Slope,Slope,0.18,3,Pairwise comparison method,AHP,Yes,out of the (100-m) buffer from 2nd and 3rd stream order; out of the (100-m) buffer from lineaments,No,Stormwater/surface runoff
1,"Delineation of groundwater recharge zones and identification of artificial recharge sites in West Medinipur district, West Bengal, using RS, GIS and MSDM techniques","Chowdhury, 2009",2009,India,Yes,No,Yes,Yes,No,No,Technical criteria,Aquifer characteristics,Aquifer transmissivity,Aquifer transmissivity,0.15,4,Pairwise comparison method,AHP,Yes,out of the (100-m) buffer from 2nd and 3rd stream order; out of the (100-m) buffer from lineaments,No,Stormwater/surface runoff
1,"Delineation of groundwater recharge zones and identification of artificial recharge sites in West Medinipur district, West Bengal, using RS, GIS and MSDM techniques","Chowdhury, 2009",2009,India,Yes,No,Yes,Yes,No,No,Technical criteria,Surface characteristics,Geomorphology,Geomorphology,0.26,1,Pairwise comparison method,AHP,Yes,out of the (100-m) buffer from 2nd and 3rd stream order; out of the (100-m) buffer from lineaments,No,Stormwater/surface runoff
1,"Delineation of groundwater recharge zones and identification of artificial recharge sites in West Medinipur district, West Bengal, using RS, GIS and MSDM techniques","Chowdhury, 2009",2009,India,Yes,No,Yes,Yes,No,No,Technical criteria,Surface characteristics,100-m buffer from 2nd and 3rd drainage,100-m buffer from 2nd and 3rd drainage,NA,NA,Pairwise comparison method,AHP,Yes,out of the (100-m) buffer from 2nd and 3rd stream order; out of the (100-m) buffer from lineaments,No,Stormwater/surface runoff
1,"Delineation of groundwater recharge zones and identification of artificial recharge sites in West Medinipur district, West Bengal, using RS, GIS and MSDM techniques","Chowdhury, 2009",2009,India,Yes,No,Yes,Yes,No,No,Technical criteria,Surface characteristics,100-m buffer from lineaments,Distance to Lineaments / Faults,NA,NA,Pairwise comparison method,AHP,Yes,out of the (100-m) buffer from 2nd and 3rd stream order; out of the (100-m) buffer from lineaments,No,Stormwater/surface runoff
2,A GIS based hydrogeomorphic approach for identification of site-specific artificial-recharge techniques in the Deccan Volcanic Province,"Shankar, 2005",2005,India,Yes,No,Yes,Yes,No,No,Technical criteria,Surface characteristics,Lineament density,Lineament density,NA,NA,Boolean logic,Boolean logic,Yes,"Water table fluctuation (> 4 m); Lineament density (< 1.5 Km/km2); Depth to bedrock (< 8m); soil cover (< 0.75 m); drainage density (< 2 km/km2); land forms (other than plains); land use/land cover (other than barren land, cultivated land); slope (> 5 degrees)",Yes,Stormwater/surface runoff
2,A GIS based hydrogeomorphic approach for identification of site-specific artificial-recharge techniques in the Deccan Volcanic Province,"Shankar, 2005",2005,India,Yes,No,Yes,Yes,No,No,Technical criteria,Aquifer characteristics,Depth to bedrock,Depth to bedrock,NA,NA,Boolean logic,Boolean logic,Yes,"Water table fluctuation (> 4 m); Lineament density (< 1.5 Km/km2); Depth to bedrock (< 8m); soil cover (< 0.75 m); drainage density (< 2 km/km2); land forms (other than plains); land use/land cover (other than barren land, cultivated land); slope (> 5 degrees)",Yes,Stormwater/surface runoff
2,A GIS based hydrogeomorphic approach for identification of site-specific artificial-recharge techniques in the Deccan Volcanic Province,"Shankar, 2005",2005,India,Yes,No,Yes,Yes,No,No,Technical criteria,Surface characteristics,Soil cover (depth),Soil depth,NA,NA,Boolean logic,Boolean logic,Yes,"Water table fluctuation (> 4 m); Lineament density (< 1.5 Km/km2); Depth to bedrock (< 8m); soil cover (< 0.75 m); drainage density (< 2 km/km2); land forms (other than plains); land use/land cover (other than barren land, cultivated land); slope (> 5 degrees)",Yes,Stormwater/surface runoff
2,A GIS based hydrogeomorphic approach for identification of site-specific artificial-recharge techniques in the Deccan Volcanic Province,"Shankar, 2005",2005,India,Yes,No,Yes,Yes,No,No,Technical criteria,Surface characteristics,Drainage density,Drainage density/Drainage intensity,NA,NA,Boolean logic,Boolean logic,Yes,"Water table fluctuation (> 4 m); Lineament density (< 1.5 Km/km2); Depth to bedrock (< 8m); soil cover (< 0.75 m); drainage density (< 2 km/km2); land forms (other than plains); land use/land cover (other than barren land, cultivated land); slope (> 5 degrees)",Yes,Stormwater/surface runoff
2,A GIS based hydrogeomorphic approach for identification of site-specific artificial-recharge techniques in the Deccan Volcanic Province,"Shankar, 2005",2005,India,Yes,No,Yes,Yes,No,No,Technical criteria,Surface characteristics,Slope,Slope,NA,NA,Boolean logic,Boolean logic,Yes,"Water table fluctuation (> 4 m); Lineament density (< 1.5 Km/km2); Depth to bedrock (< 8m); soil cover (< 0.75 m); drainage density (< 2 km/km2); land forms (other than plains); land use/land cover (other than barren land, cultivated land); slope (> 5 degrees)",Yes,Stormwater/surface runoff
2,A GIS based hydrogeomorphic approach for identification of site-specific artificial-recharge techniques in the Deccan Volcanic Province,"Shankar, 2005",2005,India,Yes,No,Yes,Yes,No,No,Technical criteria,Surface characteristics,Landforms,Geomorphology,NA,NA,Boolean logic,Boolean logic,Yes,"Water table fluctuation (> 4 m); Lineament density (< 1.5 Km/km2); Depth to bedrock (< 8m); soil cover (< 0.75 m); drainage density (< 2 km/km2); land forms (other than plains); land use/land cover (other than barren land, cultivated land); slope (> 5 degrees)",Yes,Stormwater/surface runoff
2,A GIS based hydrogeomorphic approach for identification of site-specific artificial-recharge techniques in the Deccan Volcanic Province,"Shankar, 2005",2005,India,Yes,No,Yes,Yes,No,No,Technical criteria,Surface characteristics,Land use/ land cover,Land use/ land cover,NA,NA,Boolean logic,Boolean logic,Yes,"Water table fluctuation (> 4 m); Lineament density (< 1.5 Km/km2); Depth to bedrock (< 8m); soil cover (< 0.75 m); drainage density (< 2 km/km2); land forms (other than plains); land use/land cover (other than barren land, cultivated land); slope (> 5 degrees)",Yes,Stormwater/surface runoff
2,A GIS based hydrogeomorphic approach for identification of site-specific artificial-recharge techniques in the Deccan Volcanic Province,"Shankar, 2005",2005,India,Yes,No,Yes,Yes,No,No,Technical criteria,Aquifer characteristics,Water table level fluctuation,Water table level fluctuation,NA,NA,Boolean logic,Boolean logic,Yes,"Water table fluctuation (> 4 m); Lineament density (< 1.5 Km/km2); Depth to bedrock (< 8m); soil cover (< 0.75 m); drainage density (< 2 km/km2); land forms (other than plains); land use/land cover (other than barren land, cultivated land); slope (> 5 degrees)",Yes,Stormwater/surface runoff
3,An approach to demarcate ground water potential zones through remote sensing and a geographical information system,"Krishnamurthy, 1996",1996,India,No,No,No,No,No,Yes,Technical criteria,Surface characteristics,Landforms,Geomorphology,1,1,Rating method,WLC,Yes,Presence of surface water bodies,Yes,Nonspecific
3,An approach to demarcate ground water potential zones through remote sensing and a geographical information system,"Krishnamurthy, 1996",1996,India,No,No,No,No,No,Yes,Technical criteria,Surface characteristics,200 m buffer around lineaments,Distance to Lineaments / Faults,1,3,Rating method,WLC,Yes,Presence of surface water bodies,Yes,Nonspecific
3,An approach to demarcate ground water potential zones through remote sensing and a geographical information system,"Krishnamurthy, 1996",1996,India,No,No,No,No,No,Yes,Technical criteria,Surface characteristics,Over surface water bodies,Presence of surface water bodies,NA,NA,Rating method,WLC,Yes,Presence of surface water bodies,Yes,Nonspecific
3,An approach to demarcate ground water potential zones through remote sensing and a geographical information system,"Krishnamurthy, 1996",1996,India,No,No,No,No,No,Yes,Technical criteria,Surface characteristics,Drainage density,Drainage density/Drainage intensity,1,2,Rating method,WLC,Yes,Presence of surface water bodies,Yes,Nonspecific
3,An approach to demarcate ground water potential zones through remote sensing and a geographical information system,"Krishnamurthy, 1996",1996,India,No,No,No,No,No,Yes,Technical criteria,Surface characteristics,Slope,Slope,1,2,Rating method,WLC,Yes,Presence of surface water bodies,Yes,Nonspecific
3,An approach to demarcate ground water potential zones through remote sensing and a geographical information system,"Krishnamurthy, 1996",1996,India,No,No,No,No,No,Yes,Technical criteria,Surface characteristics,Soil type,Soil type,1,2,Rating method,WLC,Yes,Presence of surface water bodies,Yes,Nonspecific
3,An approach to demarcate ground water potential zones through remote sensing and a geographical information system,"Krishnamurthy, 1996",1996,India,No,No,No,No,No,Yes,Technical criteria,Aquifer characteristics,Lithology,Geology / Lithology,1,2,Rating method,WLC,Yes,Presence of surface water bodies,Yes,Nonspecific
4,Application of GIS techniques to determine areas most suitable for artificial groundwater recharge in a coastal aquifer in southern Iran,"Ghayoumian, 2006",2006,Iran,Yes,No,No,No,No,No,Technical criteria,Surface characteristics,Infiltration rate,Hydrological soils,1,1,Boolean logic; Fuzzy membership,Fuzzy logic; Boolean logic,Yes,Slope (>8%); infiltration rate (<25 mm/h); Dry alluvial thickness (<20m); Electrical conductivity (>2250 ‘mhos/cm); Land Use (other than Range land),No,Stormwater/surface runoff
4,Application of GIS techniques to determine areas most suitable for artificial groundwater recharge in a coastal aquifer in southern Iran,"Ghayoumian, 2006",2006,Iran,Yes,No,No,No,No,No,Technical criteria,Aquifer characteristics,Dry alluvial thickness,Dry alluvial thickness,1,2,Boolean logic; Fuzzy membership,Fuzzy logic; Boolean logic,Yes,Slope (>8%); infiltration rate (<25 mm/h); Dry alluvial thickness (<20m); Electrical conductivity (>2250 ‘mhos/cm); Land Use (other than Range land),No,Stormwater/surface runoff
4,Application of GIS techniques to determine areas most suitable for artificial groundwater recharge in a coastal aquifer in southern Iran,"Ghayoumian, 2006",2006,Iran,Yes,No,No,No,No,No,Water quality,Groundwater quality,Electrical Conductivity (groundwater),Groundwater quality - Electrical conductivity,1,4,Boolean logic; Fuzzy membership,Fuzzy logic; Boolean logic,Yes,Slope (>8%); infiltration rate (<25 mm/h); Dry alluvial thickness (<20m); Electrical conductivity (>2250 ‘mhos/cm); Land Use (other than Range land),No,Stormwater/surface runoff
4,Application of GIS techniques to determine areas most suitable for artificial groundwater recharge in a coastal aquifer in southern Iran,"Ghayoumian, 2006",2006,Iran,Yes,No,No,No,No,No,Technical criteria,Surface characteristics,Land use,Land use/ land cover,NA,NA,Boolean logic; Fuzzy membership,Fuzzy logic; Boolean logic,Yes,Slope (>8%); infiltration rate (<25 mm/h); Dry alluvial thickness (<20m); Electrical conductivity (>2250 ‘mhos/cm); Land Use (other than Range land),No,Stormwater/surface runoff
4,Application of GIS techniques to determine areas most suitable for artificial groundwater recharge in a coastal aquifer in southern Iran,"Ghayoumian, 2006",2006,Iran,Yes,No,No,No,No,No,Technical criteria,Surface characteristics,Geomorphology,Geomorphology,NA,NA,Boolean logic; Fuzzy membership,Fuzzy logic; Boolean logic,Yes,Slope (>8%); infiltration rate (<25 mm/h); Dry alluvial thickness (<20m); Electrical conductivity (>2250 ‘mhos/cm); Land Use (other than Range land),No,Stormwater/surface runoff
4,Application of GIS techniques to determine areas most suitable for artificial groundwater recharge in a coastal aquifer in southern Iran,"Ghayoumian, 2006",2006,Iran,Yes,No,No,No,No,No,Technical criteria,Surface characteristics,Slope,Slope,1,3,Boolean logic; Fuzzy membership,Fuzzy logic; Boolean logic,Yes,Slope (>8%); infiltration rate (<25 mm/h); Dry alluvial thickness (<20m); Electrical conductivity (>2250 ‘mhos/cm); Land Use (other than Range land),No,Stormwater/surface runoff
5,Application of the overlay weighted model and Boolean logic to determine the best locations for artificial recharge of groundwater,"Riad, 2011",2011,Egypt,Yes,No,No,No,No,No,Management criteria,Socio-environmental impact,Distance to urban areas,Distance to urban areas,10,2,Rating method; Boolean Logic,WLC; Boolean Logic,Yes,Slope (>5 degrees); Distance to urban areas (<2000m ); Distance to supply wells (<3000m); Distance to treatment plant (>1000m); Distance to roads (<500m); Depth to ground water (<15 m); Land use (other than bare land); pollution risk (other than low or medium),No,Treated wastewater
5,Application of the overlay weighted model and Boolean logic to determine the best locations for artificial recharge of groundwater,"Riad, 2011",2011,Egypt,Yes,No,No,No,No,No,Management criteria,Economic criteria,Distance to the supply well,Distance between water supply sources and MAR site,10,2,Rating method; Boolean Logic,WLC; Boolean Logic,Yes,Slope (>5 degrees); Distance to urban areas (<2000m ); Distance to supply wells (<3000m); Distance to treatment plant (>1000m); Distance to roads (<500m); Depth to ground water (<15 m); Land use (other than bare land); pollution risk (other than low or medium),No,Treated wastewater
5,Application of the overlay weighted model and Boolean logic to determine the best locations for artificial recharge of groundwater,"Riad, 2011",2011,Egypt,Yes,No,No,No,No,No,Management criteria,Economic criteria,Distance to treatment plants,Distance between water supply sources and MAR site,20,1,Rating method; Boolean Logic,WLC; Boolean Logic,Yes,Slope (>5 degrees); Distance to urban areas (<2000m ); Distance to supply wells (<3000m); Distance to treatment plant (>1000m); Distance to roads (<500m); Depth to ground water (<15 m); Land use (other than bare land); pollution risk (other than low or medium),No,Treated wastewater
5,Application of the overlay weighted model and Boolean logic to determine the best locations for artificial recharge of groundwater,"Riad, 2011",2011,Egypt,Yes,No,No,No,No,No,Management criteria,Socio-environmental impact,Distance to the roads,Distance to roads,10,2,Rating method; Boolean Logic,WLC; Boolean Logic,Yes,Slope (>5 degrees); Distance to urban areas (<2000m ); Distance to supply wells (<3000m); Distance to treatment plant (>1000m); Distance to roads (<500m); Depth to ground water (<15 m); Land use (other than bare land); pollution risk (other than low or medium),No,Treated wastewater
5,Application of the overlay weighted model and Boolean logic to determine the best locations for artificial recharge of groundwater,"Riad, 2011",2011,Egypt,Yes,No,No,No,No,No,Technical criteria,Surface characteristics,Land use,Land use/ land cover,20,1,Rating method; Boolean Logic,WLC; Boolean Logic,Yes,Slope (>5 degrees); Distance to urban areas (<2000m ); Distance to supply wells (<3000m); Distance to treatment plant (>1000m); Distance to roads (<500m); Depth to ground water (<15 m); Land use (other than bare land); pollution risk (other than low or medium),No,Treated wastewater
5,Application of the overlay weighted model and Boolean logic to determine the best locations for artificial recharge of groundwater,"Riad, 2011",2011,Egypt,Yes,No,No,No,No,No,Water quality,General,Pollution risk,Pollution risk,10,2,Rating method; Boolean Logic,WLC; Boolean Logic,Yes,Slope (>5 degrees); Distance to urban areas (<2000m ); Distance to supply wells (<3000m); Distance to treatment plant (>1000m); Distance to roads (<500m); Depth to ground water (<15 m); Land use (other than bare land); pollution risk (other than low or medium),No,Treated wastewater
5,Application of the overlay weighted model and Boolean logic to determine the best locations for artificial recharge of groundwater,"Riad, 2011",2011,Egypt,Yes,No,No,No,No,No,Technical criteria,Aquifer characteristics,Depth to groundwater,Groundwater level,10,2,Rating method; Boolean Logic,WLC; Boolean Logic,Yes,Slope (>5 degrees); Distance to urban areas (<2000m ); Distance to supply wells (<3000m); Distance to treatment plant (>1000m); Distance to roads (<500m); Depth to ground water (<15 m); Land use (other than bare land); pollution risk (other than low or medium),No,Treated wastewater
5,Application of the overlay weighted model and Boolean logic to determine the best locations for artificial recharge of groundwater,"Riad, 2011",2011,Egypt,Yes,No,No,No,No,No,Technical criteria,Surface characteristics,Land Slope,Slope,10,2,Rating method; Boolean Logic,WLC; Boolean Logic,Yes,Slope (>5 degrees); Distance to urban areas (<2000m ); Distance to supply wells (<3000m); Distance to treatment plant (>1000m); Distance to roads (<500m); Depth to ground water (<15 m); Land use (other than bare land); pollution risk (other than low or medium),No,Treated wastewater
6,Artificial groundwater recharge zones mapping using remote sensing and GIS: a case study in Indian Punjab,"Singh, 2013",2013,India,Yes,No,No,No,No,No,Technical criteria,Aquifer characteristics,Geology,Geology / Lithology,0.18,2,Pairwise comparison method,AHP,No,NA,No,Stormwater/surface runoff
6,Artificial groundwater recharge zones mapping using remote sensing and GIS: a case study in Indian Punjab,"Singh, 2013",2013,India,Yes,No,No,No,No,No,Technical criteria,Surface characteristics,Drainage density,Drainage density/Drainage intensity,0.11,5,Pairwise comparison method,AHP,No,NA,No,Stormwater/surface runoff
6,Artificial groundwater recharge zones mapping using remote sensing and GIS: a case study in Indian Punjab,"Singh, 2013",2013,India,Yes,No,No,No,No,No,Technical criteria,Surface characteristics,Slope,Slope,0.13,4,Pairwise comparison method,AHP,No,NA,No,Stormwater/surface runoff
6,Artificial groundwater recharge zones mapping using remote sensing and GIS: a case study in Indian Punjab,"Singh, 2013",2013,India,Yes,No,No,No,No,No,Technical criteria,Surface characteristics,Soil texture,Hydrological soils,0.05,7,Pairwise comparison method,AHP,No,NA,No,Stormwater/surface runoff
6,Artificial groundwater recharge zones mapping using remote sensing and GIS: a case study in Indian Punjab,"Singh, 2013",2013,India,Yes,No,No,No,No,No,Technical criteria,Aquifer characteristics,Aquifer transmissivity,Aquifer transmissivity,0.08,6,Pairwise comparison method,AHP,No,NA,No,Stormwater/surface runoff
6,Artificial groundwater recharge zones mapping using remote sensing and GIS: a case study in Indian Punjab,"Singh, 2013",2013,India,Yes,No,No,No,No,No,Technical criteria,Aquifer characteristics,Specific yield,Groundwater yields,0.08,6,Pairwise comparison method,AHP,No,NA,No,Stormwater/surface runoff
6,Artificial groundwater recharge zones mapping using remote sensing and GIS: a case study in Indian Punjab,"Singh, 2013",2013,India,Yes,No,No,No,No,No,Technical criteria,Surface characteristics,Land use/Land cover,Land use/ land cover,0.16,3,Pairwise comparison method,AHP,No,NA,No,Stormwater/surface runoff
6,Artificial groundwater recharge zones mapping using remote sensing and GIS: a case study in Indian Punjab,"Singh, 2013",2013,India,Yes,No,No,No,No,No,Technical criteria,Surface characteristics,Geomorphology,Geomorphology,0.21,1,Pairwise comparison method,AHP,No,NA,No,Stormwater/surface runoff
7,Combining GIS with multicriteria decision making for siting water harvesting ponds in Northern Jordan,"Al-Adamat, 2010",2010,Jordan,Yes,No,No,No,No,No,Technical criteria,Surface characteristics,Slope,Slope,5,2,Ranking method,WLC,Yes,Distance to international borders (<1000m); Distance to wadis (< = 50 m); Distance to roads (<250m); Distance to urban centers (<250m); Distance to faults (< = 1000m); Distance to wells (< = 500 m),No,Stormwater/surface runoff
7,Combining GIS with multicriteria decision making for siting water harvesting ponds in Northern Jordan,"Al-Adamat, 2010",2010,Jordan,Yes,No,No,No,No,No,Management criteria,Socio-environmental impact,Distance to Wadis,Distance to Wadis,4,3,Ranking method,WLC,Yes,Distance to international borders (<1000m); Distance to wadis (< = 50 m); Distance to roads (<250m); Distance to urban centers (<250m); Distance to faults (< = 1000m); Distance to wells (< = 500 m),No,Stormwater/surface runoff
7,Combining GIS with multicriteria decision making for siting water harvesting ponds in Northern Jordan,"Al-Adamat, 2010",2010,Jordan,Yes,No,No,No,No,No,Technical criteria,Surface characteristics,Soil (clay %),Hydrological soils,3,4,Ranking method,WLC,Yes,Distance to international borders (<1000m); Distance to wadis (< = 50 m); Distance to roads (<250m); Distance to urban centers (<250m); Distance to faults (< = 1000m); Distance to wells (< = 500 m),No,Stormwater/surface runoff
7,Combining GIS with multicriteria decision making for siting water harvesting ponds in Northern Jordan,"Al-Adamat, 2010",2010,Jordan,Yes,No,No,No,No,No,Management criteria,Socio-environmental impact,Distance to Urban centers,Distance to urban areas,2,5,Ranking method,WLC,Yes,Distance to international borders (<1000m); Distance to wadis (< = 50 m); Distance to roads (<250m); Distance to urban centers (<250m); Distance to faults (< = 1000m); Distance to wells (< = 500 m),No,Stormwater/surface runoff
7,Combining GIS with multicriteria decision making for siting water harvesting ponds in Northern Jordan,"Al-Adamat, 2010",2010,Jordan,Yes,No,No,No,No,No,Management criteria,Socio-environmental impact,Distance to roads,Distance to roads,1,6,Ranking method,WLC,Yes,Distance to international borders (<1000m); Distance to wadis (< = 50 m); Distance to roads (<250m); Distance to urban centers (<250m); Distance to faults (< = 1000m); Distance to wells (< = 500 m),No,Stormwater/surface runoff
7,Combining GIS with multicriteria decision making for siting water harvesting ponds in Northern Jordan,"Al-Adamat, 2010",2010,Jordan,Yes,No,No,No,No,No,Environmental criteria,Environmental criteria,Rainfall,Rainfall,6,1,Ranking method,WLC,Yes,Distance to international borders (<1000m); Distance to wadis (< = 50 m); Distance to roads (<250m); Distance to urban centers (<250m); Distance to faults (< = 1000m); Distance to wells (< = 500 m),No,Stormwater/surface runoff
7,Combining GIS with multicriteria decision making for siting water harvesting ponds in Northern Jordan,"Al-Adamat, 2010",2010,Jordan,Yes,No,No,No,No,No,Management criteria,Socio-environmental impact,Distance to international borders,Distance to international borders,NA,NA,Ranking method,WLC,Yes,Distance to international borders (<1000m); Distance to wadis (< = 50 m); Distance to roads (<250m); Distance to urban centers (<250m); Distance to faults (< = 1000m); Distance to wells (< = 500 m),No,Stormwater/surface runoff
7,Combining GIS with multicriteria decision making for siting water harvesting ponds in Northern Jordan,"Al-Adamat, 2010",2010,Jordan,Yes,No,No,No,No,No,Technical criteria,Surface characteristics,Distance to faults,Distance to Lineaments / Faults,NA,NA,Ranking method,WLC,Yes,Distance to international borders (<1000m); Distance to wadis (< = 50 m); Distance to roads (<250m); Distance to urban centers (<250m); Distance to faults (< = 1000m); Distance to wells (< = 500 m),No,Stormwater/surface runoff
7,Combining GIS with multicriteria decision making for siting water harvesting ponds in Northern Jordan,"Al-Adamat, 2010",2010,Jordan,Yes,No,No,No,No,No,Management criteria,Socio-environmental impact,Distance to wells,Distance to wells,NA,NA,Ranking method,WLC,Yes,Distance to international borders (<1000m); Distance to wadis (< = 50 m); Distance to roads (<250m); Distance to urban centers (<250m); Distance to faults (< = 1000m); Distance to wells (< = 500 m),No,Stormwater/surface runoff
7,Combining GIS with multicriteria decision making for siting water harvesting ponds in Northern Jordan,"Al-Adamat, 2010",2010,Jordan,Yes,No,No,No,No,No,Management criteria,Socio-environmental impact,Distance to farms,Distance to crops,NA,NA,Ranking method,WLC,Yes,Distance to international borders (<1000m); Distance to wadis (< = 50 m); Distance to roads (<250m); Distance to urban centers (<250m); Distance to faults (< = 1000m); Distance to wells (< = 500 m),No,Stormwater/surface runoff
8,Geospatial and AHP-multicriteria analyses to locate and rank suitable sites for groundwater recharge with reclaimed water,"Gdoura, 2015",2015,Tunisia,Yes,No,No,No,No,No,Technical criteria,Surface characteristics,Soil Texture,Hydrological soils,0.095,5,Pairwise comparison method; Fuzzy Logic,WLC,Yes,"Slope (>12%); soil texture (>10% clay); distance from water bodies (<500m); distance from residential areas (<200m); distance from roads (<50m); unsaturated zone depth (<5m); geology (clay, sandstone and limestone are not feasible) and groundwater quality (Salinity > 2.5 g/L, nitrates > 45 mg/L, Chlorides > 600 mg/L, sulphates > 600 mg/L, calcium > 300 mg/L for human)",Yes,Treated wastewater
